name,rating,reviews,img,lat,lng,map_link
天光 Thinn-Kng ｜深夜咖啡廳｜全預約制,"4.0
(4)",541,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npu9b-UPn3z1WU2l3d0ZqvvN00kKwe9V0naYYMFhNF47ogdSG63wDgQqw_JOoR0HaQFSJG8_Lq0H9KBIU0XYPkv2g87CdnlYLJaXQrdYPzZND1fz7x6S5iJB5PoF-aXkvNxNwWmGg=w408-h385-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/%E5%A4%A9%E5%85%89+Thinn-Kng+%EF%BD%9C%E6%B7%B1%E5%A4%9C%E5%92%96%E5%95%A1%E5%BB%B3%EF%BD%9C%E5%85%A8%E9%A0%90%E7%B4%84%E5%88%B6/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a9a0b099fba9:0x5f7170b0524e8a68!8m2!3d25.0147634!4d121.5266442!16s%2Fg%2F11wmhk_bt3?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Leisure Cafe,"4.5
(450)",7,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0eS1jjn7-xjpIXIfo2HdR6Q-7woQQM_W6vWDo6A1Lso24DUMbcBFO0kO7K8I3rzNTE11zh9vPxC-EnY2OWLrAAyN2SklKFq5LGKiSotUxRD6NXcOl8p4Xq3vfH_7aZ6x1drU=w408-h305-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Leisure+Cafe/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442abe96d3aace1:0x2eb866ba60142546!8m2!3d25.0538049!4d121.55267!16s%2Fg%2F1hc2nfx_1?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Dreamers Coffee Roasters 內湖店,"4.7
(1,468)",940,https://lh3.googleusercontent.com/p/AF1QipM9iiPcxgG0zpzulBbB22LBBla9V48O8aNyKvrW=w426-h240-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Dreamers+Coffee+Roasters+%E5%85%A7%E6%B9%96%E5%BA%97/@23.8867444,115.7002064,6z/data=!3m1!5s0x3442ac7bb802a967:0xd0ead0ec704bd0f6!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442adc868847041:0x16acacb1de7323b2!8m2!3d25.0800525!4d121.5688593!16s%2Fg%2F11mndhdwcz?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Daychill Specialty Coffee Co.,"4.8
(434)","1,271",https://lh3.googleusercontent.com/p/AF1QipMKS_KP--qoB98Qh-SPSQzzoFoZXyi9LTVxzjNw=w408-h306-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Daychill+Specialty+Coffee+Co./@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442ab2afbe7cbdf:0x2d4e0e1330155ce6!8m2!3d25.0519154!4d121.5591224!16s%2Fg%2F11r0w7vdpv?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
A N G L E,"4.5
(786)",382,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrX-T0_Ez1wJFj5zRflGArHfrVUOwwVMwKQ-2_HSWsGtr-boM0lnTXKd-xvn2uVu_Nzk4EfsU2Fo3tg00WhESz7mV2953TNHa-jOTHZcrPj5g_Cb4YUqqk5mvd1FuRb-xMperpbdg=w408-h544-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/A+N+G+L+E/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442aa2bb82dc639:0x86bb0f2c740a2252!8m2!3d25.0281566!4d121.5406744!16s%2Fg%2F11gz7hy9n?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
咖啡實驗室,"4.5
(712)","5,116",https://lh3.googleusercontent.com/p/AF1QipNCZosGPKrPMBwUqk9iWu56itSHpEqorTgEUT0_=w426-h240-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/%E5%92%96%E5%95%A1%E5%AF%A6%E9%A9%97%E5%AE%A4/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a97b019f75d7:0xcfcf7466f793213d!8m2!3d25.0429973!4d121.5286123!16s%2Fg%2F1tdk_7xh?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Dreamers Coffee Roasters 微風復興店,"4.4
(386)",940,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np43KocuD1d3iC3Fhc2e8M8c-AbX33SEOkp2dk-_PeKU_I0lzBw6VkCdJ2eMZkPEib98O84fEAi9crH-uzpxPFRH7hULFdkNvcPI4Vvf4ukCuQOEg9cJ9n3kTmmN44A1KA-F1WGw7hS0g2n=w408-h408-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Dreamers+Coffee+Roasters+%E5%BE%AE%E9%A2%A8%E5%BE%A9%E8%88%88%E5%BA%97/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442abf1f3ee4ff9:0x16843bcb29fc51f7!8m2!3d25.0455726!4d121.5441026!16s%2Fg%2F11rsb3h32x?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Cactus Cafe 不限時插座免服務費咖啡廳｜六日限定早午餐｜花藝,"4.9
(222)",620,https://lh3.googleusercontent.com/p/AF1QipOGigG5zYl3utMmSdYehjIrk6BknEBkGcHgokII=w408-h272-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Cactus+Cafe+%E4%B8%8D%E9%99%90%E6%99%82%E6%8F%92%E5%BA%A7%E5%85%8D%E6%9C%8D%E5%8B%99%E8%B2%BB%E5%92%96%E5%95%A1%E5%BB%B3%EF%BD%9C%E5%85%AD%E6%97%A5%E9%99%90%E5%AE%9A%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E8%8A%B1%E8%97%9D/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442ab4b56f2a7fb:0x85981092e3005109!8m2!3d25.0432454!4d121.5466826!16s%2Fg%2F11vlxd7yg1?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
C25度咖啡館/東區咖啡廳 不限時 早午餐 義大利麵,"4.4
(1,613)",394,https://lh3.googleusercontent.com/p/AF1QipNoWpGXKV5ZeZ27iCf3UOJxkrXSa0prMnT-8MQ2=w408-h306-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/C25%E5%BA%A6%E5%92%96%E5%95%A1%E9%A4%A8%2F%E6%9D%B1%E5%8D%80%E5%92%96%E5%95%A1%E5%BB%B3+%E4%B8%8D%E9%99%90%E6%99%82+%E6%97%A9%E5%8D%88%E9%A4%90+%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442abcf790ee9c9:0x6b24599977067313!8m2!3d25.0396179!4d121.5515804!16s%2Fg%2F1tfzk0q3?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Maple Maple Café,"4.5
(622)","1,327",https://lh3.googleusercontent.com/p/AF1QipN8ZOd8eiIH-OuDCTF-HvinqTXVRpVFBL8ijFdb=w480-h240-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Maple+Maple+Caf%C3%A9/@23.8867444,115.7002064,6z/data=!3m1!5s0x34681db79dcf6d49:0xb7819d1b757c04d!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442aba38e29d895:0x3b5c31b8d613b13!8m2!3d25.040456!4d121.574878!16s%2Fg%2F1pzqc057_?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
